site,time,PM2.5,PM10,AQI
东城东四,2023-01-01 0:00:00,16.0,37.0,37.0
东城东四,2023-01-01 1:00:00,21.0,44.0,44.0
东城东四,2023-01-01 2:00:00,19.0,38.0,38.0
东城东四,2023-01-01 3:00:00,15.0,31.0,31.0
东城东四,2023-01-01 4:00:00,13.0,28.0,28.0
东城东四,2023-01-01 5:00:00,10.0,22.0,22.0
东城东四,2023-01-01 6:00:00,9.0,20.0,20.0
东城东四,2023-01-01 7:00:00,9.0,20.0,20.0
东城东四,2023-01-01 8:00:00,10.0,22.0,22.0
东城东四,2023-01-01 9:00:00,11.0,24.0,24.0
东城东四,2023-01-01 10:00:00,14.0,29.0,29.0
东城东四,2023-01-01 11:00:00,16.0,34.0,34.0
东城东四,2023-01-01 12:00:00,24.0,46.0,46.0
东城东四,2023-01-01 13:00:00,23.0,44.0,44.0
东城东四,2023-01-01 14:00:00,18.0,36.0,36.0
东城东四,2023-01-01 15:00:00,17.0,33.0,33.0
东城东四,2023-01-01 16:00:00,16.0,33.0,33.0
东城东四,2023-01-01 17:00:00,16.0,33.0,33.0
东城东四,2023-01-01 18:00:00,20.0,40.0,40.0
东城东四,2023-01-01 19:00:00,26.0,52.0,51.0
东城东四,2023-01-01 20:00:00,27.0,52.0,51.0
东城东四,2023-01-01 21:00:00,33.0,58.0,54.0
东城东四,2023-01-01 22:00:00,27.0,49.0,49.0
东城东四,2023-01-01 23:00:00,19.0,36.0,36.0
东城天坛,2023-01-01 0:00:00,16.0,31.0,31.0
东城天坛,2023-01-01 1:00:00,17.0,32.0,32.0
东城天坛,2023-01-01 2:00:00,17.0,31.0,31.0
东城天坛,2023-01-01 3:00:00,15.0,29.0,29.0
东城天坛,2023-01-01 4:00:00,12.0,23.0,23.0
东城天坛,2023-01-01 5:00:00,10.0,19.0,19.0
东城天坛,2023-01-01 6:00:00,9.0,17.0,17.0
东城天坛,2023-01-01 7:00:00,9.0,18.0,18.0
东城天坛,2023-01-01 8:00:00,10.0,19.0,19.0
东城天坛,2023-01-01 9:00:00,12.0,25.0,25.0
东城天坛,2023-01-01 10:00:00,15.0,30.0,30.0
东城天坛,2023-01-01 11:00:00,19.0,35.0,35.0
东城天坛,2023-01-01 12:00:00,26.0,47.0,47.0
东城天坛,2023-01-01 13:00:00,24.0,45.0,45.0
东城天坛,2023-01-01 14:00:00,21.0,39.0,39.0
东城天坛,2023-01-01 15:00:00,19.0,35.0,35.0
东城天坛,2023-01-01 16:00:00,18.0,34.0,34.0
东城天坛,2023-01-01 17:00:00,19.0,35.0,35.0
东城天坛,2023-01-01 18:00:00,20.0,38.0,38.0
东城天坛,2023-01-01 19:00:00,24.0,44.0,44.0
东城天坛,2023-01-01 20:00:00,27.0,47.0,47.0
东城天坛,2023-01-01 21:00:00,29.0,49.0,49.0
东城天坛,2023-01-01 22:00:00,29.0,50.0,50.0
东城天坛,2023-01-01 23:00:00,19.0,34.0,34.0
西城官园,2023-01-01 0:00:00,12.0,30.0,30.0
西城官园,2023-01-01 1:00:00,11.0,26.0,26.0
西城官园,2023-01-01 2:00:00,10.0,26.0,26.0
西城官园,2023-01-01 3:00:00,9.0,21.0,21.0
西城官园,2023-01-01 4:00:00,8.0,19.0,19.0
西城官园,2023-01-01 5:00:00,9.0,20.0,20.0
西城官园,2023-01-01 6:00:00,9.0,20.0,20.0
西城官园,2023-01-01 7:00:00,9.0,19.0,19.0
西城官园,2023-01-01 8:00:00,13.0,24.0,24.0
西城官园,2023-01-01 9:00:00,13.0,26.0,26.0
西城官园,2023-01-01 10:00:00,13.0,26.0,26.0
西城官园,2023-01-01 11:00:00,12.0,25.0,25.0
西城官园,2023-01-01 12:00:00,16.0,33.0,33.0
西城官园,2023-01-01 13:00:00,20.0,39.0,39.0
西城官园,2023-01-01 14:00:00,20.0,38.0,38.0
西城官园,2023-01-01 15:00:00,19.0,34.0,34.0
西城官园,2023-01-01 16:00:00,23.0,38.0,38.0
西城官园,2023-01-01 17:00:00,25.0,38.0,38.0
西城官园,2023-01-01 18:00:00,30.0,45.0,45.0
西城官园,2023-01-01 19:00:00,32.0,51.0,51.0
西城官园,2023-01-01 20:00:00,28.0,48.0,48.0
西城官园,2023-01-01 21:00:00,19.0,34.0,34.0
西城官园,2023-01-01 22:00:00,23.0,44.0,44.0
西城官园,2023-01-01 23:00:00,23.0,45.0,45.0
西城万寿西宫,2023-01-01 0:00:00,16.0,32.0,32.0
西城万寿西宫,2023-01-01 1:00:00,16.0,30.0,30.0
西城万寿西宫,2023-01-01 2:00:00,15.0,29.0,29.0
西城万寿西宫,2023-01-01 3:00:00,12.0,25.0,25.0
西城万寿西宫,2023-01-01 4:00:00,11.0,21.0,21.0
西城万寿西宫,2023-01-01 5:00:00,9.0,18.0,18.0
西城万寿西宫,2023-01-01 6:00:00,9.0,17.0,17.0
西城万寿西宫,2023-01-01 7:00:00,10.0,18.0,18.0
西城万寿西宫,2023-01-01 8:00:00,12.0,18.0,18.0
西城万寿西宫,2023-01-01 9:00:00,11.0,21.0,21.0
西城万寿西宫,2023-01-01 10:00:00,15.0,27.0,27.0
西城万寿西宫,2023-01-01 11:00:00,16.0,29.0,29.0
西城万寿西宫,2023-01-01 12:00:00,22.0,41.0,41.0
西城万寿西宫,2023-01-01 13:00:00,25.0,44.0,44.0
西城万寿西宫,2023-01-01 14:00:00,24.0,42.0,42.0
西城万寿西宫,2023-01-01 15:00:00,19.0,34.0,34.0
西城万寿西宫,2023-01-01 16:00:00,20.0,35.0,35.0
西城万寿西宫,2023-01-01 17:00:00,23.0,38.0,38.0
西城万寿西宫,2023-01-01 18:00:00,24.0,47.0,47.0
西城万寿西宫,2023-01-01 19:00:00,29.0,51.0,51.0
西城万寿西宫,2023-01-01 20:00:00,31.0,56.0,53.0
西城万寿西宫,2023-01-01 21:00:00,32.0,55.0,53.0
西城万寿西宫,2023-01-01 22:00:00,33.0,54.0,52.0
西城万寿西宫,2023-01-01 23:00:00,31.0,52.0,51.0
朝阳奥体中心,2023-01-01 0:00:00,18.0,35.0,35.0
朝阳奥体中心,2023-01-01 1:00:00,16.0,30.0,30.0
朝阳奥体中心,2023-01-01 2:00:00,15.0,27.0,27.0
朝阳奥体中心,2023-01-01 3:00:00,11.0,21.0,21.0
朝阳奥体中心,2023-01-01 4:00:00,11.0,20.0,20.0
朝阳奥体中心,2023-01-01 5:00:00,11.0,20.0,23.0
朝阳奥体中心,2023-01-01 6:00:00,10.0,18.0,18.0
朝阳奥体中心,2023-01-01 7:00:00,11.0,18.0,18.0
朝阳奥体中心,2023-01-01 8:00:00,11.0,19.0,19.0
朝阳奥体中心,2023-01-01 9:00:00,11.0,21.0,21.0
朝阳奥体中心,2023-01-01 10:00:00,11.0,23.0,23.0
朝阳奥体中心,2023-01-01 11:00:00,12.0,25.0,25.0
朝阳奥体中心,2023-01-01 12:00:00,18.0,49.0,49.0
朝阳奥体中心,2023-01-01 13:00:00,18.0,97.0,74.0
朝阳奥体中心,2023-01-01 14:00:00,14.0,63.0,57.0
朝阳奥体中心,2023-01-01 15:00:00,13.0,80.0,65.0
朝阳奥体中心,2023-01-01 16:00:00,12.0,75.0,63.0
朝阳奥体中心,2023-01-01 17:00:00,12.0,77.0,64.0
朝阳奥体中心,2023-01-01 18:00:00,13.0,122.0,86.0
朝阳奥体中心,2023-01-01 19:00:00,12.0,83.0,67.0
朝阳奥体中心,2023-01-01 20:00:00,13.0,75.0,63.0
朝阳奥体中心,2023-01-01 21:00:00,14.0,71.0,61.0
朝阳奥体中心,2023-01-01 22:00:00,23.0,92.0,71.0
朝阳奥体中心,2023-01-01 23:00:00,25.0,82.0,66.0
朝阳农展馆,2023-01-01 0:00:00,15.0,42.0,42.0
朝阳农展馆,2023-01-01 1:00:00,18.0,45.0,45.0
朝阳农展馆,2023-01-01 2:00:00,15.0,42.0,42.0
朝阳农展馆,2023-01-01 3:00:00,14.0,40.0,40.0
朝阳农展馆,2023-01-01 4:00:00,12.0,34.0,34.0
朝阳农展馆,2023-01-01 5:00:00,9.0,29.0,29.0
朝阳农展馆,2023-01-01 6:00:00,7.0,24.0,24.0
朝阳农展馆,2023-01-01 7:00:00,7.0,20.0,20.0
朝阳农展馆,2023-01-01 8:00:00,7.0,20.0,20.0
朝阳农展馆,2023-01-01 9:00:00,8.0,25.0,25.0
